NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2021-10-01 00:00:00;1008.6;1017.3;11.9;1.90;16.3;8.3;11.9;79.0;12;;31;31;31;31;31;0;;;;;;;7;2;0;;;;;;15;4;0;;1;6;18.2;2021-10-19 00:00:00;9.0;2021-10-13 00:00:00;22.2;2021-10-19 00:00:00;4.0;2021-10-13 00:00:00;17.4;2021-10-02 00:00:00;24.4;2021-10-02 00:00:00;;;6;18
07015;2021-10-01 00:00:00;1011.6;1017.3;11.6;2.00;16.0;7.7;11.7;102.0;15;;31;31;31;31;31;0;;;;;;;7;2;0;;;;;;17;4;0;;1;7;17.6;2021-10-19 00:00:00;8.2;2021-10-24 00:00:00;21.5;2021-10-19 00:00:00;2.5;2021-10-24 00:00:00;25.2;2021-10-02 00:00:00;23.6;2021-10-20 00:00:00;0;;6;18
07020;2021-10-01 00:00:00;1015.0;1016.1;14.8;1.20;16.8;12.7;13.6;110.0;12;;31;31;31;31;31;0;;;;;;;6;4;0;;;;;;24;10;3;;;;17.8;2021-10-19 00:00:00;12.7;2021-10-23 00:00:00;19.2;2021-10-19 00:00:00;9.5;2021-10-16 00:00:00;25.8;2021-10-02 00:00:00;31.1;2021-10-02 00:00:00;0;1;6;18
07027;2021-10-01 00:00:00;1009.4;1017.4;12.4;1.90;17.1;8.5;12.2;84.0;10;159;31;31;31;31;31;31;;;;;;;5;1;0;;;;;;19;3;0;;2;6;19.0;2021-10-19 00:00:00;9.7;2021-10-21 00:00:00;23.4;2021-10-19 00:00:00;1.7;2021-10-24 00:00:00;31.2;2021-10-02 00:00:00;29.3;2021-10-20 00:00:00;0;;6;18
07037;2021-10-01 00:00:00;999.7;1018.0;11.1;2.10;16.2;7.4;11.3;111.0;13;;31;31;31;31;31;0;;;;;;;7;4;0;;;;;;17;3;1;;;8;17.6;2021-10-19 00:00:00;7.4;2021-10-22 00:00:00;22.2;2021-10-19 00:00:00;1.2;2021-10-24 00:00:00;28.0;2021-10-02 00:00:00;34.0;2021-10-21 00:00:00;0;;6;18
07072;2021-10-01 00:00:00;1007.4;1019.0;10.6;3.00;16.6;5.6;11.0;66.0;11;167;31;31;31;31;31;31;;;;;0;3;7;;;;;;;;9;2;0;;;11;17.0;2021-10-19 00:00:00;5.4;2021-10-17 00:00:00;23.2;2021-10-19 00:00:00;-1.2;2021-10-22 00:00:00;9.3;2021-10-31 00:00:00;29.6;2021-10-21 00:00:00;0;;6;18
07110;2021-10-01 00:00:00;1005.2;1017.0;13.0;2.00;17.3;9.1;13.3;165.0;11;148;31;31;31;31;31;31;;;;;;;8;8;0;;;;;;22;5;0;;3;13;16.9;2021-10-19 00:00:00;8.1;2021-10-22 00:00:00;21.8;2021-10-08 00:00:00;2.8;2021-10-22 00:00:00;30.6;2021-10-02 00:00:00;27.3;2021-10-02 00:00:00;1;;6;18
07117;2021-10-01 00:00:00;1009.7;1016.6;14.2;1.60;17.5;11.7;13.3;103.0;12;;31;31;31;31;31;0;;;;;;;7;5;0;;;;;;21;5;0;;;;18.0;2021-10-19 00:00:00;10.3;2021-10-23 00:00:00;21.3;2021-10-19 00:00:00;8.1;2021-10-23 00:00:00;18.8;2021-10-19 00:00:00;29.7;2021-10-20 00:00:00;;;6;18
07130;2021-10-01 00:00:00;1013.6;1018.1;12.9;2.00;18.1;8.5;12.6;109.0;11;178;31;31;31;31;31;31;;;;;;;5;3;1;;;;;;16;1;0;;6;17;18.1;2021-10-19 00:00:00;9.2;2021-10-22 00:00:00;23.1;2021-10-19 00:00:00;2.6;2021-10-22 00:00:00;53.7;2021-10-02 00:00:00;25.5;2021-10-20 00:00:00;0;;6;18
07139;2021-10-01 00:00:00;1001.1;1018.5;11.4;2.10;17.0;7.0;11.6;117.0;13;161;31;31;31;31;31;31;;;;;0;2;5;1;1;;;;;;10;2;0;1;1;17;17.4;2021-10-19 00:00:00;7.8;2021-10-22 00:00:00;22.7;2021-10-19 00:00:00;-0.3;2021-10-24 00:00:00;58.7;2021-10-02 00:00:00;24.0;2021-10-21 00:00:00;;;6;18
07149;2021-10-01 00:00:00;1008.0;1018.8;12.3;2.20;17.4;8.2;11.5;61.0;11;167;31;31;31;31;31;31;;;;;;;7;1;0;;;;;;14;2;0;;1;4;18.6;2021-10-19 00:00:00;8.4;2021-10-22 00:00:00;23.9;2021-10-19 00:00:00;2.5;2021-10-22 00:00:00;12.3;2021-10-02 00:00:00;28.6;2021-10-21 00:00:00;0;0;6;18
07168;2021-10-01 00:00:00;1005.3;1019.6;11.0;3.10;17.6;5.2;10.6;32.0;9;184;31;31;31;31;31;31;;;;;0;4;1;;;;;;;;9;3;1;;;13;17.4;2021-10-19 00:00:00;5.8;2021-10-24 00:00:00;23.8;2021-10-19 00:00:00;-2.0;2021-10-24 00:00:00;9.0;2021-10-30 00:00:00;30.1;2021-10-20 00:00:00;0;;6;18
07181;2021-10-01 00:00:00;978.3;1020.1;10.6;2.80;16.0;6.4;10.5;46.0;9;;31;31;31;31;31;0;;;;;;;3;1;0;;;;;;13;2;1;;4;12;16.4;2021-10-02 00:00:00;6.4;2021-10-22 00:00:00;21.5;2021-10-03 00:00:00;0.2;2021-10-24 00:00:00;11.9;2021-10-20 00:00:00;31.7;2021-10-21 00:00:00;0;0;6;18
07190;2021-10-01 00:00:00;1002.3;1020.6;10.4;3.00;16.7;5.5;10.1;50.0;10;145;31;31;31;31;31;31;;;;;0;2;3;2;0;;;;;;8;1;0;1;2;15;16.7;2021-10-02 00:00:00;5.1;2021-10-24 00:00:00;23.5;2021-10-02 00:00:00;-0.9;2021-10-24 00:00:00;14.1;2021-10-03 00:00:00;29.5;2021-10-21 00:00:00;0;;6;18
07207;2021-10-01 00:00:00;1013.0;1018.2;15.2;1.30;17.5;12.9;14.0;94.0;12;;31;31;31;31;31;0;;;;;;;4;3;0;;;;;;23;8;1;;;1;17.6;2021-10-19 00:00:00;11.5;2021-10-22 00:00:00;20.5;2021-10-09 00:00:00;7.6;2021-10-22 00:00:00;38.9;2021-10-02 00:00:00;34.7;2021-10-20 00:00:00;;;6;18
07222;2021-10-01 00:00:00;1015.3;1018.4;13.0;2.00;18.6;8.2;12.4;146.0;10;209;31;31;31;31;31;31;;;;;;;4;3;1;;;;;;13;2;0;;1;10;17.1;2021-10-19 00:00:00;8.8;2021-10-23 00:00:00;23.9;2021-10-19 00:00:00;2.7;2021-10-23 00:00:00;96.7;2021-10-02 00:00:00;26.8;2021-10-20 00:00:00;0;;6;18
07240;2021-10-01 00:00:00;1005.6;1019.1;12.4;2.30;18.1;7.7;11.6;55.0;11;201;31;31;31;31;31;31;1;0;;;0;1;4;1;0;;;;;;14;3;0;;;4;18.9;2021-10-19 00:00:00;8.4;2021-10-24 00:00:00;25.2;2021-10-19 00:00:00;0.0;2021-10-24 00:00:00;14.5;2021-10-02 00:00:00;27.9;2021-10-20 00:00:00;0;;6;18
07255;2021-10-01 00:00:00;999.8;1019.7;12.0;2.40;18.2;6.8;10.9;37.0;9;199;31;31;31;31;31;31;1;0;;;;;3;;;;;;;;8;3;0;;1;5;17.1;2021-10-19 00:00:00;8.3;2021-10-22 00:00:00;25.9;2021-10-19 00:00:00;1.1;2021-10-24 00:00:00;6.8;2021-10-29 00:00:00;24.7;2021-10-03 00:00:00;;;6;18
07280;2021-10-01 00:00:00;993.9;1020.3;11.0;2.70;16.8;5.9;10.4;78.0;7;197;31;31;31;31;31;31;;;;;0;1;5;5;0;;;;;;14;1;0;;1;11;16.8;2021-10-02 00:00:00;6.8;2021-10-24 00:00:00;22.0;2021-10-02 00:00:00;-0.6;2021-10-24 00:00:00;24.4;2021-10-30 00:00:00;23.8;2021-10-03 00:00:00;0;;6;18
07299;2021-10-01 00:00:00;988.0;1020.8;10.3;2.80;16.9;5.4;10.3;38.0;9;;31;31;31;31;31;0;1;0;;;0;1;3;1;0;;;;;;5;1;0;;2;11;16.8;2021-10-02 00:00:00;5.8;2021-10-23 00:00:00;25.1;2021-10-02 00:00:00;-1.7;2021-10-24 00:00:00;11.3;2021-10-31 00:00:00;27.0;2021-10-21 00:00:00;0;;6;18
07314;2021-10-01 00:00:00;1016.3;1019.1;15.3;1.50;18.0;12.7;13.3;61.0;10;;31;31;31;31;31;0;;;;;;;3;2;0;;;;;;23;5;1;;;1;17.8;2021-10-19 00:00:00;12.6;2021-10-23 00:00:00;21.5;2021-10-19 00:00:00;7.9;2021-10-24 00:00:00;24.2;2021-10-02 00:00:00;32.8;2021-10-20 00:00:00;;;6;18
07335;2021-10-01 00:00:00;1005.0;1019.4;12.1;2.50;18.7;6.6;10.9;35.0;10;209;31;31;31;31;31;31;1;0;;;0;1;2;;;;;;;;18;2;0;1;1;8;17.9;2021-10-19 00:00:00;7.6;2021-10-23 00:00:00;25.0;2021-10-19 00:00:00;-1.1;2021-10-24 00:00:00;9.8;2021-10-02 00:00:00;26.3;2021-10-20 00:00:00;0;;6;18
07434;2021-10-01 00:00:00;972.1;1019.7;11.9;1.80;16.7;8.3;10.8;45.0;9;194;31;31;31;31;31;31;;;;;;;2;1;0;;;;;;17;1;0;;1;8;15.8;2021-10-19 00:00:00;8.2;2021-10-23 00:00:00;21.7;2021-10-19 00:00:00;4.0;2021-10-23 00:00:00;12.9;2021-10-03 00:00:00;21.5;2021-10-20 00:00:00;0;;6;18
07460;2021-10-01 00:00:00;980.7;1020.1;11.9;3.10;18.5;6.6;10.4;44.0;5;180;31;31;31;31;31;31;1;0;;;0;2;2;1;0;;;;;;17;3;0;;;6;18.5;2021-10-20 00:00:00;5.6;2021-10-23 00:00:00;25.3;2021-10-02 00:00:00;-0.9;2021-10-23 00:00:00;26.5;2021-10-03 00:00:00;23.4;2021-10-03 00:00:00;0;;6;18
07471;2021-10-01 00:00:00;;;8.7;2.70;15.2;3.3;8.7;66.0;5;176;0;31;31;31;31;31;;;;;0;7;3;2;0;;;;;;15;2;0;;1;6;14.3;2021-10-20 00:00:00;3.0;2021-10-23 00:00:00;21.9;2021-10-01 00:00:00;-3.1;2021-10-24 00:00:00;36.4;2021-10-03 00:00:00;22.1;2021-10-03 00:00:00;0;;6;18
07481;2021-10-01 00:00:00;991.8;1020.5;12.3;3.00;17.4;8.0;11.0;146.0;6;;31;31;31;31;31;0;;;;;;;3;3;1;;;;;;18;4;0;;;7;19.6;2021-10-02 00:00:00;7.4;2021-10-23 00:00:00;24.2;2021-10-01 00:00:00;2.1;2021-10-24 00:00:00;79.3;2021-10-03 00:00:00;29.8;2021-10-20 00:00:00;0;0;6;18
07510;2021-10-01 00:00:00;1013.8;1019.6;14.1;2.40;20.3;9.4;12.6;32.0;9;207;31;31;31;31;31;31;1;0;;;;;2;;;;;;;;11;1;0;;;18;19.6;2021-10-02 00:00:00;9.6;2021-10-23 00:00:00;26.2;2021-10-19 00:00:00;3.3;2021-10-24 00:00:00;9.3;2021-10-03 00:00:00;20.4;2021-10-20 00:00:00;0;;6;18
07535;2021-10-01 00:00:00;988.9;1020.0;12.5;2.70;19.2;7.2;11.3;54.0;8;199;31;31;31;31;31;31;;;;;;;3;2;0;;;;;;9;0;0;;;8;18.6;2021-10-20 00:00:00;7.0;2021-10-23 00:00:00;23.7;2021-10-02 00:00:00;0.1;2021-10-23 00:00:00;20.9;2021-10-31 00:00:00;16.6;2021-10-03 00:00:00;;;6;18
07560;2021-10-01 00:00:00;845.3;;6.6;2.10;9.1;4.3;7.3;569.0;12;;0;31;31;31;31;0;;;;;0;1;9;7;4;2;;;;;29;20;10;11;15;21;10.1;2021-10-18 00:00:00;2.7;2021-10-06 00:00:00;13.5;2021-10-18 00:00:00;0.0;2021-10-23 00:00:00;213.8;2021-10-29 00:00:00;45.2;2021-10-30 00:00:00;;;6;18
07577;2021-10-01 00:00:00;1011.1;1020.0;13.8;2.30;19.0;9.6;11.7;173.0;5;205;31;31;31;31;31;31;;;;;;;5;5;1;;;;;;21;1;0;;;4;19.4;2021-10-02 00:00:00;10.7;2021-10-14 00:00:00;24.5;2021-10-01 00:00:00;3.2;2021-10-15 00:00:00;73.7;2021-10-03 00:00:00;22.3;2021-10-03 00:00:00;;;6;18
07591;2021-10-01 00:00:00;;;10.7;2.00;17.6;5.4;8.4;63.0;6;214;0;31;31;31;31;31;;;;;;;2;2;0;;;;;;13;0;0;;;;15.9;2021-10-01 00:00:00;7.2;2021-10-13 00:00:00;22.4;2021-10-02 00:00:00;0.9;2021-10-13 00:00:00;42.4;2021-10-04 00:00:00;17.6;2021-10-04 00:00:00;;;6;18
07607;2021-10-01 00:00:00;1012.6;1019.7;13.2;2.70;21.0;7.0;12.2;39.0;6;192;31;31;31;31;31;31;4;0;;;0;1;3;1;0;;;;;;7;0;0;;1;13;19.8;2021-10-20 00:00:00;9.4;2021-10-24 00:00:00;28.5;2021-10-02 00:00:00;-0.3;2021-10-24 00:00:00;17.3;2021-10-03 00:00:00;17.1;2021-10-05 00:00:00;0;;6;18
07621;2021-10-01 00:00:00;976.8;1019.8;13.2;2.20;20.1;7.3;11.5;50.0;7;180;31;31;31;31;31;31;1;0;;;;;2;2;0;;;;;;9;0;0;;1;5;19.5;2021-10-02 00:00:00;9.9;2021-10-13 00:00:00;27.5;2021-10-02 00:00:00;1.7;2021-10-14 00:00:00;23.0;2021-10-03 00:00:00;17.3;2021-10-03 00:00:00;0;;6;18
07627;2021-10-01 00:00:00;971.3;1020.2;12.6;2.30;20.1;6.3;11.2;53.0;4;200;31;31;31;31;31;31;4;0;;;;;3;2;0;;;;;;5;0;0;;;7;18.6;2021-10-02 00:00:00;8.7;2021-10-24 00:00:00;27.0;2021-10-02 00:00:00;0.4;2021-10-24 00:00:00;28.6;2021-10-03 00:00:00;15.2;2021-10-05 00:00:00;;;6;18
07630;2021-10-01 00:00:00;1002.0;1019.9;14.3;2.30;20.5;9.1;12.5;46.0;5;194;31;31;31;31;31;31;1;0;;;;;2;2;0;;;;;;16;0;0;;1;7;19.9;2021-10-20 00:00:00;10.7;2021-10-23 00:00:00;25.9;2021-10-02 00:00:00;1.5;2021-10-24 00:00:00;22.4;2021-10-31 00:00:00;16.5;2021-10-19 00:00:00;0;;6;18
07643;2021-10-01 00:00:00;1018.4;1019.4;15.7;1.90;20.9;10.4;12.8;122.0;6;215;31;31;31;31;31;31;;;;;;;3;3;1;;;;;;17;3;0;;;2;19.9;2021-10-03 00:00:00;12.1;2021-10-23 00:00:00;23.1;2021-10-01 00:00:00;4.9;2021-10-23 00:00:00;51.7;2021-10-30 00:00:00;22.7;2021-10-30 00:00:00;1;;6;18
07650;2021-10-01 00:00:00;1014.9;1018.7;16.3;2.10;21.6;11.4;13.3;93.0;7;230;31;31;31;31;31;31;3;0;;;;;3;2;0;;;;;;19;1;0;;;1;22.2;2021-10-03 00:00:00;13.5;2021-10-23 00:00:00;26.6;2021-10-01 00:00:00;6.8;2021-10-14 00:00:00;40.3;2021-10-03 00:00:00;26.3;2021-10-06 00:00:00;1;;6;18
07661;2021-10-01 00:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;18
07690;2021-10-01 00:00:00;1015.3;1018.4;17.5;1.70;21.4;14.1;13.5;43.0;6;213;31;31;31;31;31;31;;;;;;;4;2;0;;;;;;12;1;0;;;;21.3;2021-10-02 00:00:00;13.5;2021-10-30 00:00:00;24.7;2021-10-04 00:00:00;11.4;2021-10-15 00:00:00;15.3;2021-10-30 00:00:00;24.4;2021-10-04 00:00:00;1;0;6;18
07747;2021-10-01 00:00:00;1013.8;1019.1;17.0;1.90;22.2;12.2;11.7;19.0;3;210;31;31;31;31;31;31;4;0;;;;;1;1;0;;;;;;22;2;0;;;;20.9;2021-10-03 00:00:00;13.2;2021-10-24 00:00:00;27.1;2021-10-03 00:00:00;6.3;2021-10-24 00:00:00;14.4;2021-10-03 00:00:00;21.0;2021-10-03 00:00:00;0;;6;18
07761;2021-10-01 00:00:00;1017.0;1018.0;17.2;1.80;23.3;12.0;13.6;34.0;5;222;31;31;31;31;31;31;4;1;;;;;2;1;0;;;;;;12;0;0;;;;22.7;2021-10-04 00:00:00;15.4;2021-10-14 00:00:00;30.5;2021-10-04 00:00:00;7.6;2021-10-15 00:00:00;20.6;2021-10-05 00:00:00;17.0;2021-10-06 00:00:00;1;;6;18
07790;2021-10-01 00:00:00;1017.0;1018.4;17.2;2.10;22.0;13.2;13.0;36.0;4;204;31;31;31;31;31;31;5;0;;;;;3;2;0;;;;;;16;0;0;;;;21.5;2021-10-06 00:00:00;12.8;2021-10-14 00:00:00;26.0;2021-10-03 00:00:00;7.9;2021-10-14 00:00:00;15.8;2021-10-31 00:00:00;18.5;2021-10-06 00:00:00;2;;6;18
61968;2021-10-01 00:00:00;1013.4;1013.9;26.6;0.60;30.0;24.3;24.8;5.0;2;;31;31;31;31;31;0;31;16;;;;;0;;;;;;;;22;0;0;;;;27.8;2021-10-24 00:00:00;25.3;2021-10-13 00:00:00;31.3;2021-10-31 00:00:00;21.1;2021-10-30 00:00:00;2.2;2021-10-20 00:00:00;16.8;2021-10-25 00:00:00;;;3;15
61970;2021-10-01 00:00:00;1013.2;1014.3;26.9;0.70;30.9;24.2;25.2;0.0;0;;31;31;31;31;31;0;31;25;;;;;;;;;;;;;21;0;0;;;;28.1;2021-10-25 00:00:00;25.3;2021-10-30 00:00:00;32.9;2021-10-19 00:00:00;21.7;2021-10-23 00:00:00;;;16.8;2021-10-28 00:00:00;;;3;15
61972;2021-10-01 00:00:00;1015.1;1015.9;24.4;1.00;27.6;21.8;21.2;13.0;2;;31;31;31;31;31;0;31;1;;;;;1;1;0;;;;;;24;1;0;;;;26.3;2021-10-17 00:00:00;22.7;2021-10-08 00:00:00;33.7;2021-10-15 00:00:00;17.6;2021-10-09 00:00:00;10.4;2021-10-10 00:00:00;21.9;2021-10-28 00:00:00;;;3;15
61976;2021-10-01 00:00:00;1015.0;1015.9;25.9;0.60;29.0;23.8;24.5;18.0;4;;31;31;31;31;31;0;31;3;;;;;1;;;;;;;;25;0;0;;;;27.1;2021-10-31 00:00:00;24.7;2021-10-01 00:00:00;32.0;2021-10-29 00:00:00;22.3;2021-10-01 00:00:00;8.6;2021-10-11 00:00:00;18.6;2021-10-01 00:00:00;;;3;15
61980;2021-10-01 00:00:00;1016.3;1017.8;23.7;0.80;27.4;20.7;21.6;111.0;10;209;31;31;31;31;31;31;31;0;;;;;6;5;0;;;;;;25;0;0;;;;25.2;2021-10-24 00:00:00;21.6;2021-10-08 00:00:00;28.5;2021-10-23 00:00:00;18.2;2021-10-09 00:00:00;30.8;2021-10-11 00:00:00;18.0;2021-10-09 00:00:00;0;;3;15
61996;2021-10-01 00:00:00;1017.7;1021.3;12.5;1.00;15.3;9.7;11.3;66.0;14;;31;31;31;31;31;0;;;;;;;5;2;0;;;;;;29;10;0;;;;14.6;2021-10-28 00:00:00;10.8;2021-10-23 00:00:00;17.3;2021-10-27 00:00:00;6.9;2021-10-13 00:00:00;13.2;2021-10-20 00:00:00;24.8;2021-10-08 00:00:00;;;3;15
61997;2021-10-01 00:00:00;991.1;1009.0;3.9;1.80;7.0;1.5;6.9;0.0;0;;31;31;31;31;1;0;;;;;0;5;;;;;;;;;31;20;10;;;;9.5;2021-10-31 00:00:00;-0.1;2021-10-11 00:00:00;15.0;2021-10-31 00:00:00;-3.2;2021-10-11 00:00:00;;;40.6;2021-10-09 00:00:00;;;3;15
61998;2021-10-01 00:00:00;998.2;1001.9;3.7;1.90;7.2;0.7;5.9;78.0;6;154;31;31;31;31;31;31;;;;;0;9;6;2;0;;10;1;;;31;23;6;;;1;9.0;2021-10-24 00:00:00;0.4;2021-10-05 00:00:00;13.5;2021-10-24 00:00:00;-2.5;2021-10-29 00:00:00;36.7;2021-10-15 00:00:00;36.7;2021-10-10 00:00:00;0;0;3;15
67005;2021-10-01 00:00:00;1013.4;1014.2;26.8;0.60;30.6;24.0;26.2;18.0;3;251;31;31;31;31;31;31;31;27;;;;;1;;;;;;;;12;0;0;;;;28.3;2021-10-25 00:00:00;25.6;2021-10-19 00:00:00;32.6;2021-10-25 00:00:00;21.7;2021-10-30 00:00:00;7.1;2021-10-14 00:00:00;12.9;2021-10-09 00:00:00;0;0;3;15
78897;2021-10-01 00:00:00;1012.9;1013.8;27.1;1.00;31.1;23.9;28.5;128.0;16;204;31;31;31;31;31;31;31;29;;;;;7;4;0;;;;;;28;0;0;;;2;28.6;2021-10-07 00:00:00;24.8;2021-10-10 00:00:00;32.5;2021-10-07 00:00:00;20.6;2021-10-31 00:00:00;28.0;2021-10-09 00:00:00;15.2;2021-10-04 00:00:00;2;;12;0
78925;2021-10-01 00:00:00;1012.5;1013.4;27.9;0.90;31.8;24.7;28.6;202.0;16;212;31;31;31;31;31;31;31;30;;;;;9;5;1;;;;;;27;0;0;;;;29.2;2021-10-02 00:00:00;25.8;2021-10-10 00:00:00;34.3;2021-10-15 00:00:00;21.7;2021-10-29 00:00:00;52.5;2021-10-12 00:00:00;18.7;2021-10-07 00:00:00;3;1;12;0
81401;2021-10-01 00:00:00;1010.2;1010.8;27.3;0.90;34.3;23.3;29.8;104.0;13;197;31;31;31;31;31;29;31;30;9;0;;;7;6;0;;;;;;5;0;0;;;;28.8;2021-10-16 00:00:00;25.2;2021-10-24 00:00:00;36.4;2021-10-16 00:00:00;22.3;2021-10-29 00:00:00;18.0;2021-10-23 00:00:00;14.4;2021-10-21 00:00:00;;;9;21
81405;2021-10-01 00:00:00;1010.4;1011.4;27.2;0.70;32.6;23.1;29.4;83.0;8;220;31;31;31;31;31;31;31;30;;;;;5;3;0;;;;;;13;0;0;;;6;28.2;2021-10-16 00:00:00;25.0;2021-10-25 00:00:00;33.9;2021-10-20 00:00:00;21.3;2021-10-15 00:00:00;24.3;2021-10-23 00:00:00;13.9;2021-10-21 00:00:00;3;;9;21
81408;2021-10-01 00:00:00;1010.1;1010.9;27.0;0.90;33.1;22.9;29.0;113.0;15;218;31;31;31;31;31;31;31;29;;;;;11;4;0;;;;;;11;0;0;;;;28.3;2021-10-16 00:00:00;25.1;2021-10-22 00:00:00;34.7;2021-10-16 00:00:00;21.1;2021-10-15 00:00:00;15.8;2021-10-24 00:00:00;13.0;2021-10-11 00:00:00;;;9;21
81415;2021-10-01 00:00:00;999.2;1011.3;27.5;0.60;34.3;23.1;28.8;102.0;13;238;31;31;31;31;31;30;31;31;7;0;;;3;2;0;;;;;;11;0;0;;;;28.4;2021-10-07 00:00:00;26.2;2021-10-05 00:00:00;35.3;2021-10-13 00:00:00;21.6;2021-10-15 00:00:00;44.8;2021-10-31 00:00:00;15.8;2021-10-05 00:00:00;;;9;21
89642;2021-10-01 00:00:00;985.1;990.7;-10.7;3.50;-7.1;-13.7;1.9;;;218;31;31;31;31;0;31;;;;;31;31;;;;;;;;;30;16;6;;;6;-5.3;2021-10-04 00:00:00;-18.2;2021-10-16 00:00:00;-2.3;2021-10-04 00:00:00;-20.7;2021-10-01 00:00:00;;;42.3;2021-10-02 00:00:00;0;0;21;9
